TransactionNativeID,Traveler Name,Department,Itinerary number,Transaction date,Booking Date,Transaction type,Domestic / International,Travel start date,Travel end date,Transaction amount,Booking Reference/PNR,Ticket number,Reason code,Booking method,Airline/Vendor,Traveler Group,Card Number,Flight,Origin city,Destination city,Class of service,Cabin type,Reason for travel,UserDefinedColumn1,UserDefinedColumn2,UserDefinedColumn3,UserDefinedColumn4,UserDefinedColumn5
23,Employee Name33,,3165062964,1/13/2019,11/27/2018,Original,Intercontinental,1/13/2019,1/17/2019,1325.860709,BTMLHD,3165062964,,,NORWEGIAN AIR SHUTTLE,,,,BARCELONA,LOS ANGELES,I,,,,,,,
24,Employee Name80,,5670275966,6/14/2018,4/17/2018,Refund,Continental,6/14/2018,6/16/2018,-63.51666365,JKTCHK,5670275966,,,SWISS,,,,ZURICH,STOCKHOLM,T,,,,,,,
25,Employee Name30,,2579377542,9/18/2018,8/31/2018,Original,Continental,9/18/2018,9/20/2018,452.8509346,HFQJXO,2579377542,,,KLM-ROYAL DUTCH AIRLINES,,,,AMSTERDAM,DUBLIN,H,,,,,,,
26,Employee Name75,,4932309740,6/11/2018,5/8/2018,Original,Continental,6/11/2018,6/13/2018,155.3365311,QHHWYN,4932309740,,,SAS SCANDINAVIAN AIRLINES,,,,OSLO,LONDON,T,,,,,,,
27,Employee Name88,,5107086101,4/19/2018,3/23/2018,Original,Continental,4/19/2018,4/20/2018,109.4364259,XCVJAO,5107086101,,,AER LINGUS,,,,LISBON,DUBLIN,T,,,,,,,
28,Employee Name106,,3421716576,1/10/2019,1/8/2019,Exchange,Continental,1/10/2019,1/10/2019,62.42926796,HQ9LYK,3421716576,,,CHINA EASTERN AIRLINES,,,,HONG KONG,SHANGHAI,N,,,,,,,
29,Employee Name106,,2874561573,11/8/2018,10/17/2018,Refund,Intercontinental,11/8/2018,11/8/2018,-1923.986111,KGRK8E,2874561573,,,CHINA EASTERN AIRLINES,,,,SHANGHAI,NEW YORK,I,,,,,,,
30,Employee Name80,,5670275899,3/13/2018,1/19/2018,Original,Continental,3/13/2018,3/15/2018,186.1424923,ZKJUYX,5670275899,,,SWISS,,,,ZURICH,LONDON,K,,,,,,,
31,Employee Name142,,2665885847,11/20/2018,9/17/2018,Original,Intercontinental,11/20/2018,11/20/2018,2250.861141,POY37F,2665885847,,,AMERICAN AIRLINES,,,,SEOUL,PHOENIX,D,,,,,,,
32,Employee Name88,,2628940773,9/4/2018,8/7/2018,Original,Continental,9/4/2018,9/4/2018,161.8684521,CXMICG,2628940773,,,BRITISH AIRWAYS,,,,LONDON,ZURICH,O,,,,,,,
33,Employee Name71,,2589458792,6/11/2018,5/2/2018,Original,Continental,6/11/2018,6/13/2018,283.4227557,R4HLPV,2589458792,,,BULGARIA AIR,,,,SOFIA,LONDON,U,,,,,,,
34,Employee Name8,,7140513087,5/29/2018,4/27/2018,Original,Intercontinental,5/29/2018,5/29/2018,186.1,XNWLOR,7140513087,,,SWISS,,,,ZURICH,MUNICH,L,,,,,,,
35,Employee Name11,,7162131847,7/15/2018,7/10/2018,Original,Intercontinental,7/15/2018,7/20/2018,8313.98,LPUYYJ,7162131847,,,AER LINGUS,,,,LOS ANGELES,DUBLIN,C,,,,,,,
36,Employee Name106,,5173442074,1/21/2018,1/8/2018,Original,Domestic,1/21/2018,1/21/2018,280.008466,JW9EFR,5173442074,,,CHINA EASTERN AIRLINES,,,,SHANGHAI,HAIKOU,Y,,,,,,,
37,Employee Name11,,7057508920,3/23/2018,3/15/2018,Original,Continental,3/23/2018,3/23/2018,851.9,TBZIQF,7057508920,,,UNITED AIRLINES,,,,SAN JUAN,LOS ANGELES,E,,,,,,,
38,Employee Name88,,KPUR5Y,7/11/2018,7/4/2018,Original,Continental,7/11/2018,7/13/2018,158.5631447,OWBAHC,KPUR5Y,,,RYANAIR,,,,DUBLIN,LONDON,*,,,,,,,
39,Employee Name68,,7054231711,3/26/2018,3/6/2018,Original,Continental,3/26/2018,3/27/2018,254.33,XFQXSG,7054231711,,,UNITED AIRLINES,,,,BOSTON,HALIFAX,G,,,,,,,
40,Employee Name24,,7229805175,12/14/2018,12/5/2018,Original,Intercontinental,12/14/2018,12/20/2018,9916.03,EVGKYJ,7229805175,,,SINGAPORE AIRLINES,,,,LOS ANGELES,SINGAPORE,Z,,,,,,,
41,Employee Name58,,2758902737,9/29/2018,9/26/2018,Exchange,Intercontinental,9/29/2018,9/30/2018,0,ITCCCP,2758902737,,,AIR TAHITI NUI,,,,LOS ANGELES,PARIS,Z,,,,,,,
42,Employee Name9,,5323891231,3/23/2018,3/20/2018,Exchange,Continental,3/23/2018,3/23/2018,235.727245,QF47ZT,5323891231,,,SAS SCANDINAVIAN AIRLINES,,,,GOTHENBURG,VILNIUS,M,,,,,,,
43,Employee Name33,,2628882304,6/4/2018,5/31/2018,Original,Domestic,6/4/2018,6/4/2018,349.505575,ZNRTZU,2628882304,,,IBERIA,,,,BARCELONA,MADRID,Y,,,,,,,
44,Employee Name106,,2873854091,11/13/2018,9/27/2018,Original,Intercontinental,11/13/2018,11/14/2018,2318.984099,KPGNFM,2873854091,,,UNITED AIRLINES,,,,CHICAGO,SHANGHAI,P,,,,,,,
45,Employee Name128,,2648906679,10/10/2018,10/1/2018,Original,Continental,10/10/2018,10/13/2018,707.5110721,GSSGSP,2648906679,,,SINGAPORE AIRLINES,,,,SINGAPORE,HONG KONG,W,,,,,,,
46,Employee Name11,,7181666702,9/21/2018,9/16/2018,Exchange,Intercontinental,9/21/2018,9/21/2018,100,MUHBGY,7181666702,,,AMERICAN AIRLINES,,,,SHANGHAI,LOS ANGELES,J,,,,,,,
47,Employee Name68,,7179080426,10/11/2018,9/6/2018,Original,Continental,10/11/2018,10/11/2018,210.28,HXFIUU,7179080426,,,DELTA AIR LINES,,,,MONTREAL,SEATTLE,V,,,,,,,
48,Employee Name36,,2527238528,9/14/2018,7/26/2018,Exchange,Continental,9/14/2018,9/14/2018,317.8144332,SEJGIT,2527238528,,,SWISS,,,,ROME,ZURICH,U,,,,,,,
49,Employee Name128,,2648906602,9/6/2018,8/24/2018,Original,Continental,9/6/2018,9/11/2018,3923.384219,OCZVOT,2648906602,,,SINGAPORE AIRLINES,,,,SINGAPORE,TOKYO,J,,,,,,,
50,Employee Name11,,7224685669,11/28/2018,11/29/2018,Refund,Domestic,11/28/2018,11/30/2018,-3214.4,YMORDH,7224685669,,,UNITED AIRLINES,,,,LOS ANGELES,WASHINGTON,J,,,,,,,
51,Employee Name11,,7139378993,5/13/2018,4/26/2018,Exchange,Intercontinental,5/13/2018,5/18/2018,-1867.2,RCUNPA,7139378993,,,UNITED AIRLINES,,,,LOS ANGELES,SINGAPORE,J,,,,,,,
52,Employee Name128,,2648906480,6/8/2018,5/23/2018,Original,Intercontinental,6/8/2018,6/15/2018,7374.938929,SGTMMK,2648906480,,,SINGAPORE AIRLINES,,,,SINGAPORE,LONDON,Z,,,,,,,
53,Employee Name36,,5952010768,5/15/2018,4/10/2018,Original,Continental,5/15/2018,5/17/2018,381.9262149,ASAHPW,5952010768,,,SWISS,,,,ZURICH,LONDON,T,,,,,,,
54,Employee Name36,,5952010277,4/23/2018,2/20/2018,Original,Intercontinental,4/23/2018,4/29/2018,5187.089045,MTQQTR,5952010277,,,SWISS,,,,ZURICH,SINGAPORE,Z,,,,,,,
55,Employee Name120,,2837770241,1/14/2019,1/8/2019,Exchange,Intercontinental,1/14/2019,1/19/2019,229.5566073,IZJBTS,2837770241,,,CATHAY PACIFIC AIRWAYS,,,,HONG KONG,LOS ANGELES,I,,,,,,,
56,Employee Name120,,5103145051,3/6/2018,3/5/2018,Original,Continental,3/6/2018,3/9/2018,3973.947768,UCDSBO,5103145051,,,CATHAY PACIFIC AIRWAYS,,,,HONG KONG,TOKYO,J,,,,,,,
57,Employee Name9,,5399304077,4/23/2018,4/10/2018,Original,Continental,4/23/2018,4/24/2018,251.5317776,RK6GWK,5399304077,,,SAS SCANDINAVIAN AIRLINES,,,,VILNIUS,HELSINKI,L,,,,,,,
58,Employee Name130,,5191029046,6/26/2018,6/19/2018,Original,Domestic,6/26/2018,6/27/2018,420.8469809,FPXPDL,5191029046,,,LUFTHANSA GERMAN AIRLINES,,,,MUNICH,BERLIN,B,,,,,,,
59,Employee Name130,,2880373217,12/12/2018,11/8/2018,Original,Domestic,12/12/2018,12/13/2018,206.9906246,UPWXZA,2880373217,,,LUFTHANSA GERMAN AIRLINES,,,,MUNICH,BERLIN,L,,,,,,,
60,Employee Name9,,5323839870,3/20/2018,2/2/2018,Original,Continental,3/20/2018,3/23/2018,367.7906244,QF47ZT,5323839870,,,SAS SCANDINAVIAN AIRLINES,,,,VILNIUS,GOTHENBURG,L,,,,,,,
61,Employee Name30,,2579377465,9/24/2018,8/17/2018,Original,Intercontinental,9/24/2018,9/28/2018,6499.197179,VCAXXZ,2579377465,,,DELTA AIR LINES,,,,AMSTERDAM,LOS ANGELES,D,,,,,,,
62,Employee Name143,,2628446964,6/22/2018,5/28/2018,Original,Continental,6/22/2018,6/25/2018,242.4331856,KFALAG,2628446964,,,AUSTRIAN AIRLINES,,,,VIENNA,BUCHAREST,K,,,,,,,
63,Employee Name148,,1.31141E+13,2/20/2018,1/29/2018,Original,Domestic,2/20/2018,2/20/2018,304.4637698,TLU3AT,1.31141E+13,,,JAPAN AIRLINES,,,,FUKUOKA,TOKYO,Y,,,,,,,
64,Employee Name148,,1.31596E+12,3/19/2018,2/14/2018,Original,Continental,3/19/2018,3/23/2018,1636.017462,L21RGY,1.31596E+12,,,JAPAN AIRLINES,,,,TOKYO,HONG KONG,C,,,,,,,
65,Employee Name128,,5746704342,3/8/2018,2/26/2018,Original,Intercontinental,3/8/2018,3/12/2018,3227.070762,BBSXGC,5746704342,,,VIRGIN ATLANTIC,,,,LONDON,ORLANDO,S,,,,,,,
66,Employee Name149,,2837770087,11/26/2018,11/23/2018,Original,Continental,11/26/2018,11/30/2018,1252.297877,IQOVLA,2837770087,,,CATHAY PACIFIC AIRWAYS,,,,HONG KONG,SEOUL,Y,,,,,,,
67,Employee Name132,,43491,1/25/2018,1/16/2018,Original,Continental,1/25/2018,1/26/2018,88.9906665,UAVWSA,43491,,,AER LINGUS,,,,AMSTERDAM,DUBLIN,*,,,,,,,
68,Employee Name12,,5952010841,5/18/2018,4/17/2018,Original,Continental,5/18/2018,5/25/2018,710.3538416,CFGWRF,5952010841,,,SWISS,,,,ZURICH,ATHENS,M,,,,,,,
69,Employee Name120,,2837770199,1/14/2019,12/28/2018,Original,Intercontinental,1/14/2019,1/19/2019,6780.526882,IZJBTS,2837770199,,,CATHAY PACIFIC AIRWAYS,,,,HONG KONG,LOS ANGELES,I,,,,,,,
70,Employee Name68,,7148565904,6/11/2018,5/24/2018,Original,Domestic,6/11/2018,6/13/2018,232.4,PHVBPJ,7148565904,,,ALASKA AIRLINES,,,,SEATTLE,SAN FRANCISCO,K,,,,,,,
71,Employee Name130,,2880373257,1/14/2019,11/16/2018,Exchange,Intercontinental,1/14/2019,1/18/2019,364.6062959,QHMWLX,2880373257,,,LUFTHANSA GERMAN AIRLINES,,,,BERLIN,PALM SPRINGS,Z,,,,,,,
72,Employee Name75,,4932309796,9/25/2018,9/17/2018,Original,Continental,9/25/2018,9/25/2018,341.3917413,MNVNDE,4932309796,,,SAS SCANDINAVIAN AIRLINES,,,,OSLO,STOCKHOLM,Q,,,,,,,
73,Employee Name68,,7163050424,8/6/2018,7/13/2018,Original,Continental,8/6/2018,8/9/2018,322.67,ZKENBG,7163050424,,,ALASKA AIRLINES,,,,SEATTLE,LOS ANGELES,V,,,,,,,
74,Employee Name12,,2527238749,11/6/2018,8/28/2018,Original,Continental,11/6/2018,11/6/2018,75.55257457,NGPBDD,2527238749,,,BRITISH AIRWAYS,,,,ZURICH,LONDON,O,,,,,,,
75,Employee Name8,,2527238564,9/8/2018,8/6/2018,Original,Continental,9/8/2018,9/20/2018,280.7826785,SDWRIK,2527238564,,,AIR FRANCE,,,,ZURICH,PARIS,E,,,,,,,
76,Employee Name153,,5952010263,3/7/2018,3/8/2018,Refund,Continental,3/7/2018,3/7/2018,-75.45301925,,5952010263,,,SWISS,,,,ZURICH,VIENNA,S,,,,,,,
77,Employee Name153,,5952010412,4/23/2018,3/8/2018,Original,Intercontinental,4/23/2018,4/29/2018,4827.937945,KFFQGB,5952010412,,,SINGAPORE AIRLINES,,,,ZURICH,SINGAPORE,D,,,,,,,
78,Employee Name104,,2778539818,1/11/2019,1/8/2019,Original,Intercontinental,1/11/2019,1/21/2019,3459.396799,UKFCQN,2778539818,,,EMIRATES,,,,RIYADH,TORONTO,O,,,,,,,
79,Employee Name143,,5697403887,4/15/2018,4/12/2018,Original,Intercontinental,4/15/2018,4/17/2018,491.3903794,UZYYBN,5697403887,,,AUSTRIAN AIRLINES,,,,VIENNA,TEL AVIV,S,,,,,,,
80,Employee Name58,,5357558321,9/14/2018,8/27/2018,Original,Domestic,9/14/2018,9/14/2018,191.7500836,INGQNU,5357558321,,,AIR FRANCE,,,,NICE,PARIS,H,,,,,,,
81,Employee Name9,,5399364023,5/29/2018,5/28/2018,Original,Continental,5/29/2018,5/30/2018,281.9139108,NEFTYI,5399364023,,,LOT-POLISH AIRLINES,,,,VILNIUS,TALLINN,H,,,,,,,
82,Employee Name10,,2648906674,10/3/2018,9/28/2018,Original,Continental,10/3/2018,10/3/2018,385.9991684,HPJPOX,2648906674,,,SILKAIR,,,,SINGAPORE,KUALA LUMPUR,E,,,,,,,
83,Employee Name120,,2678831526,6/11/2018,6/1/2018,Original,Intercontinental,6/11/2018,6/14/2018,7635.080737,KDUSAM,2678831526,,,CATHAY PACIFIC AIRWAYS,,,,HONG KONG,LONDON,D,,,,,,,
84,Employee Name104,,2775783492,11/8/2018,10/4/2018,Original,Intercontinental,11/8/2018,11/9/2018,1881.02263,L6WWMY,2775783492,,,AIR CANADA,,,,LOS ANGELES,TORONTO,P,,,,,,,
85,Employee Name104,,2776628215,11/7/2018,11/3/2018,Exchange,Intercontinental,11/7/2018,11/8/2018,157.2672295,L6WWMY,2776628215,,,AIR CANADA,,,,LOS ANGELES,TORONTO,P,,,,,,,
86,Employee Name8,,2858203576,3/21/2019,1/21/2019,Exchange,Continental,3/21/2019,3/26/2019,266.353698,LEFCIY,2858203576,,,SWISS,,,,ZURICH,BRUSSELS,H,,,,,,,
87,Employee Name71,,5156783500,4/19/2018,4/11/2018,Original,Continental,4/19/2018,4/19/2018,475.4600502,U4H83R,5156783500,,,AUSTRIAN AIRLINES,,,,SOFIA,VIENNA,V,,,,,,,
88,Employee Name130,,5191028959,6/5/2018,5/30/2018,Exchange,Domestic,6/5/2018,6/5/2018,82.81842269,URAPYP,5191028959,,,LUFTHANSA GERMAN AIRLINES,,,,BERLIN,MUNICH,Y,,,,,,,
89,Employee Name130,,5745949051,2/5/2018,1/18/2018,Original,Continental,2/5/2018,2/6/2018,1051.270067,IMDAEE,5745949051,,,LUFTHANSA GERMAN AIRLINES,,,,MUNICH,ZURICH,B,,,,,,,
90,Employee Name143,,5697403919,5/14/2018,5/2/2018,Original,Continental,5/14/2018,5/14/2018,596.0915129,DRMHQX,5697403919,,,AUSTRIAN AIRLINES,,,,VIENNA,ZURICH,U,,,,,,,
91,Employee Name102,,2628469309,1/9/2019,11/8/2018,Original,Intercontinental,1/9/2019,1/18/2019,5251.487745,AVBKQQ,2628469309,,,LUFTHANSA GERMAN AIRLINES,,,,VIENNA,LOS ANGELES,P,,,,,,,
92,Employee Name150,,1337692576,11/13/2018,11/5/2018,Original,Continental,11/13/2018,11/13/2018,105.035438,,1337692576,,,TAP AIR PORTUGAL,,,,BARCELONA,LISBON,K,,,,,,,
93,Employee Name100,,2858203640,2/15/2019,1/28/2019,Refund,Continental,2/15/2019,2/17/2019,-357.6489682,XPUDBR,2858203640,,,SWISS,,,,ZURICH,PARIS,V,,,,,,,
94,Employee Name68,,7177782020,9/11/2018,8/31/2018,Original,Domestic,9/11/2018,9/11/2018,118.54,JWAQHV,7177782020,,,UNITED AIRLINES,,,,BURBANK,SAN FRANCISCO,T,,,,,,,
95,Employee Name143,,1166388836,11/26/2018,10/24/2018,Original,Continental,11/26/2018,11/28/2018,235.7330608,YIWBDY,1166388836,,,SWISS,,,,VIENNA,ZURICH,T,,,,,,,
96,Employee Name130,,5745949665,5/15/2018,4/20/2018,Original,Continental,5/15/2018,5/15/2018,506.4022554,TNGYLF,5745949665,,,LUFTHANSA GERMAN AIRLINES,,,,MUNICH,HAMBURG,S,,,,,,,
97,Employee Name24,,7229454908,1/7/2019,12/3/2018,Original,Intercontinental,1/7/2019,1/10/2019,3666.43,QTHBMJ,7229454908,,,DELTA AIR LINES,,,,LOS ANGELES,SHANGHAI,Z,,,,,,,
98,Employee Name130,,5745949159,3/1/2018,2/6/2018,Original,Domestic,3/1/2018,3/2/2018,351.0537794,YTQZIE,5745949159,,,LUFTHANSA GERMAN AIRLINES,,,,MUNICH,BERLIN,T,,,,,,,
99,Employee Name9,,2675506899,9/18/2018,9/15/2018,Original,Continental,9/18/2018,9/19/2018,283.4555818,TC2BF2,2675506899,,,LOT-POLISH AIRLINES,,,,VILNIUS,TALLINN,Q,,,,,,,
100,Employee Name8,,2671411063,11/5/2018,9/25/2018,Original,Intercontinental,11/5/2018,11/10/2018,7348.905152,PKLPDE,2671411063,,,AIR FRANCE,,,,PARIS,LOS ANGELES,I,,,,,,,
101,Employee Name8,,2527238865,9/10/2018,9/6/2018,Exchange,Intercontinental,9/10/2018,9/15/2018,1079.346721,QEOABQ,2527238865,,,AIR FRANCE,,,,PARIS,LOS ANGELES,I,,,,,,,
102,Employee Name130,,2880373516,2/5/2019,1/9/2019,Original,Continental,2/5/2019,2/6/2019,620.9352062,ORSEMS,2880373516,,,SWISS,,,,MUNICH,ZURICH,Q,,,,,,,
103,Employee Name34,,5358073587,8/2/2018,9/14/2018,Refund,Continental,8/2/2018,8/3/2018,-630.7924615,,5358073587,,,LOT-POLISH AIRLINES,,,,BUDAPEST,WARSAW,Z,,,,,,,
104,Employee Name130,,2880373027,11/26/2018,11/26/2018,Refund,Continental,11/26/2018,11/26/2018,-76.35841063,KJHYSL,2880373027,,,LUFTHANSA GERMAN AIRLINES,,,,MUNICH,ZURICH,H,,,,,,,
105,Employee Name130,,5745949570,6/6/2018,4/10/2018,Original,Intercontinental,6/6/2018,6/8/2018,6219.593321,QMKKNR,5745949570,,,AMERICAN AIRLINES,,,,MUNICH,LOS ANGELES,R,,,,,,,
106,Employee Name3,,5637564036,3/8/2018,3/5/2018,Original,Continental,3/8/2018,3/8/2018,318.2838754,VFBKIH,5637564036,,,SAS SCANDINAVIAN AIRLINES,,,,OSLO,STOCKHOLM,Z,,,,,,,
107,Employee Name130,,EVD7FW,7/5/2018,7/2/2018,Original,Domestic,7/5/2018,7/5/2018,604.8076425,AZBYPF,EVD7FW,,,EASYJET,,,,MUNICH,BERLIN,*,,,,,,,
108,Employee Name34,,5358073590,8/2/2018,9/21/2018,Refund,Continental,8/2/2018,8/3/2018,-630.7924615,,5358073590,,,LOT-POLISH AIRLINES,,,,BUDAPEST,WARSAW,Z,,,,,,,
109,Employee Name12,,5952010614,5/18/2018,3/26/2018,Original,Continental,5/18/2018,5/25/2018,545.0557265,HDEVUN,5952010614,,,AEGEAN AIRLINES,,,,ZURICH,ATHENS,B,,,,,,,
110,Employee Name12,,5952010614,5/18/2018,4/18/2018,Refund,Continental,5/18/2018,5/25/2018,-410.5345334,HDEVUN,5952010614,,,AEGEAN AIRLINES,,,,ZURICH,ATHENS,B,,,,,,,
111,Employee Name153,,5952010870,5/15/2018,4/20/2018,Original,Continental,5/15/2018,5/17/2018,331.112884,URBNUN,5952010870,,,SWISS,,,,ZURICH,LONDON,L,,,,,,,
112,Employee Name34,,5358073603,8/30/2018,8/24/2018,Original,Continental,8/30/2018,8/30/2018,296.6977144,GUXVAW,5358073603,,,LOT-POLISH AIRLINES,,,,BUDAPEST,WARSAW,M,,,,,,,
113,Employee Name8,,2671411972,1/11/2019,1/11/2019,Exchange,Continental,1/11/2019,1/21/2019,160.6008158,DOCEDP,2671411972,,,SWISS,,,,ZURICH,PARIS,Q,,,,,,,
114,Employee Name8,,2671411860,1/11/2019,12/17/2018,Original,Continental,1/11/2019,1/21/2019,355.4178568,DOCEDP,2671411860,,,SWISS,,,,ZURICH,PARIS,S,,,,,,,
115,Employee Name18,,7229454931,12/19/2018,12/4/2018,Original,Intercontinental,12/19/2018,12/19/2018,209.1,SGMAWY,7229454931,,,BRITISH AIRWAYS,,,,ZURICH,LONDON,N,,,,,,,
116,Employee Name130,,5191029621,1/14/2019,10/1/2018,Original,Intercontinental,1/14/2019,1/18/2019,6486.00282,QHMWLX,5191029621,,,LUFTHANSA GERMAN AIRLINES,,,,MUNICH,LOS ANGELES,Z,,,,,,,
117,Employee Name93,,5979397033,1/29/2018,1/18/2018,Original,Continental,1/29/2018,1/30/2018,251.41,L8DBDO,5979397033,,,MIDDLE EAST AIRLINES,,,,BEIRUT,DUBAI,V,,,,,,,
118,Employee Name34,,5358073589,8/2/2018,9/21/2018,Refund,Continental,8/2/2018,8/3/2018,-630.7924615,,5358073589,,,LOT-POLISH AIRLINES,,,,BUDAPEST,WARSAW,Z,,,,,,,
119,Employee Name102,,2628446970,6/27/2018,6/1/2018,Original,Continental,6/27/2018,6/28/2018,779.3095034,LYIXQH,2628446970,,,BRUSSELS AIRLINES,,,,VIENNA,BRUSSELS,M,,,,,,,
120,Employee Name34,,5358073601,8/30/2018,9/11/2018,Refund,Continental,8/30/2018,8/30/2018,-380.2092791,,5358073601,,,LOT-POLISH AIRLINES,,,,BUDAPEST,WARSAW,M,,,,,,,
121,Employee Name24,,1445471127,5/31/2018,5/14/2018,Original,Domestic,5/31/2018,6/2/2018,153.96,OSRBLB,1445471127,,,SOUTHWEST AIRLINES,,,,BURBANK,SAN JOSE,N,,,,,,,
122,Employee Name12,,5670276015,2/15/2018,1/31/2018,Original,Continental,2/15/2018,2/16/2018,366.0455715,SKGMVX,5670276015,,,SWISS,,,,ZURICH,STOCKHOLM,T,,,,,,,
123,Employee Name131,,5745949547,4/23/2018,4/27/2018,Refund,Intercontinental,4/23/2018,4/23/2018,-195.7435711,AZFEFO,5745949547,,,CHINA EASTERN AIRLINES,,,,BEIJING,SHANGHAI,Y,,,,,,,
124,Employee Name151,,9785226684,11/26/2018,10/16/2018,Original,Continental,11/26/2018,11/28/2018,375.2528414,YMGDVA,9785226684,,,SWISS,,,,PRAGUE,ZURICH,Q,,,,,,,
